node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,score_edpl,score_ewpl,score_elwpl,score_graph_deviance,score_lof,score_edpl_norm,score_ewpl_norm,score_elwpl_norm,score_graph_deviance_norm,score_lof_norm,oddball_score,window_start,window_end,out_in_degree_ratio,out_degree_share
104.16.207.165,3.0,1.0,2.0,19.0,3.0,3.0,19.0,3.1622776601683795,0.03772465741989158,0.48672680540080376,1.7644151067514573,0.1887923374485087,1.645931824264044,0.020635206633922792,0.035640003953692066,0.06884938468729873,0.0025820953741233746,5.52180491382213e-11,0.025541338140851005,2017-07-07 03:30:00,2017-07-07 03:40:00,0.6666666666666666,0.3333333332222222
192.168.10.5,484.0,276.0,208.0,4427.0,277.0,485.0,4434.0,68.08893307081411,1.8281695981602124,1.484761151548496,25.627173209537123,73.11594271090935,28.110637383988927,1.0,0.10871990760381778,1.0,1.0,9.43061269910054e-10,0.6217439817093757,2017-07-07 03:30:00,2017-07-07 03:40:00,1.325358851674641,0.5702479338831193
104.16.28.216,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.4142135623730951,0.08560893101651135,0.5868267830212922,3.3546742203126674,0.7276612495725534,1.0,0.04682767457825812,0.04296970833523095,0.1309030142686291,0.00995215574870762,3.3548199460151577e-11,0.0461305105928748,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,0.49999999975
104.17.241.25,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.15464487100869773,0.3683552732135498,3.607326089512245e-09,1.060559880560044,1.0,0.08459000257105542,0.02697238625040099,1.4076176330559092e-10,0.014505179598837367,3.3548199460151577e-11,0.02521351371892075,2017-07-07 03:30:00,2017-07-07 03:40:00,2.0,0.9999999989999999
192.168.10.16,304.0,166.0,138.0,1355.0,189.0,307.0,1427.0,56.435804238089844,1.606134302876511,3.0925730780951284,17.578755878687996,42.49435391133676,9.521526566730591,0.8785477586394895,0.22645006502082823,0.6859420559168845,0.5811913563004137,3.1943007242581013e-10,0.4744262472394093,2017-07-07 03:30:00,2017-07-07 03:40:00,1.2014388489208634,0.5460526315771511
104.19.196.102,2.0,1.0,1.0,27.0,2.0,2.0,27.0,7.0710678118654755,0.08560893101651135,1.7691888818783037,2.153353443263237,0.9930121986305771,1.054504996119525,0.04682767457825812,0.1295467971874858,0.08402617899588975,0.013581336187605682,3.5376743941544186e-11,0.05479639739692323,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,0.49999999975
104.20.10.120,4.0,2.0,2.0,21.0,3.0,4.0,21.0,5.8309518948453,0.2448781103956398,0.1631731065878347,2.5839127891549123,0.6264046923762514,1.2066147412453365,0.13394715164395804,0.01194816085614553,0.10082707008018005,0.008567279161714042,4.047975201085773e-11,0.05105793235649547,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,0.499999999875
104.28.13.116,2.0,1.0,1.0,7.0,2.0,2.0,7.0,3.1622776601683795,0.08560893101651135,0.11505396081655703,4.015824936504869,0.35790243933138804,1.0,0.04682767457825812,0.008424692400110111,0.15670182987682715,0.004894998629047106,3.3548199460151577e-11,0.04336983910355814,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,0.49999999975
192.168.10.8,16.0,9.0,7.0,45.0,11.0,17.0,52.0,7.535697451670544,0.15540345531299232,1.2852109880674045,0.04833682669355393,1.9618667167944448,1.4505287698638933,0.08500494454638309,0.09410807908623794,0.0018861552266547072,0.026832270009174375,4.86626284940822e-11,0.04156628978342255,2017-07-07 03:30:00,2017-07-07 03:40:00,1.25,0.5624999999648438
104.97.123.193,2.0,1.0,1.0,10.0,2.0,2.0,10.0,3.0,0.08560893101651135,0.23876490763093125,3.0903423914681127,0.3752739772099175,0.9708015661270188,0.04682767457825812,0.017483282526348523,0.12058850058101786,0.005132587549253117,3.256864457665676e-11,0.038006409053489246,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,0.49999999975
