final_rank,node,final_score,static_avg_rank,consistency_score,majority_label,is_malicious
1,192.168.10.15,0.3478964401294498,34.333333333333336,0.6666666666666666,BENIGN,False
2,192.168.10.5,0.3141509433962264,35.333333333333336,0.6,BENIGN,False
3,192.168.10.9,0.3137614678899082,36.333333333333336,0.6,BENIGN,False
4,192.168.10.16,0.31239669421487604,40.333333333333336,0.6,BENIGN,False
5,192.168.10.14,0.2967261904761905,37.333333333333336,0.5666666666666667,BENIGN,False
6,192.168.10.50,0.29637681159420287,38.333333333333336,0.5666666666666667,BENIGN,False
7,192.168.10.255,0.2946969696969697,44.0,0.5666666666666667,,
8,192.168.10.3,0.29452736318407957,44.666666666666664,0.5666666666666667,BENIGN,False
9,8.6.0.1,0.29195402298850576,58.0,0.5666666666666667,BENIGN,False
10,192.168.10.17,0.27829457364341087,43.0,0.5333333333333333,BENIGN,False
11,192.168.10.8,0.26282051282051283,39.0,0.5,BENIGN,False
12,192.168.10.12,0.26171875,42.666666666666664,0.5,BENIGN,False
13,192.168.10.19,0.24461152882205514,44.333333333333336,0.4666666666666667,BENIGN,False
14,192.168.10.25,0.21094890510948905,45.666666666666664,0.4,BENIGN,False
15,8.0.6.4,0.15793650793650793,63.0,0.3,,
16,72.21.91.29,0.13999999999999999,75.0,0.26666666666666666,BENIGN,False
17,172.16.0.1,0.1294871794871795,39.0,0.23333333333333334,DDoS,True
18,192.168.10.51,0.10069702602230483,717.3333333333334,0.2,BENIGN,False
19,144.217.240.204,0.08386695126289576,937.0,0.16666666666666666,,
20,198.100.147.178,0.07276422764227643,82.0,0.13333333333333333,,
21,99.224.25.39,0.07123983739837399,109.33333333333333,0.13333333333333333,,
22,205.174.165.73,0.06867201426024955,249.33333333333334,0.13333333333333333,,
23,172.217.10.102,0.0675542406311637,563.3333333333334,0.13333333333333333,BENIGN,False
24,144.217.164.10,0.06730934018851757,778.0,0.13333333333333333,,
25,207.210.46.249,0.06730934018851757,778.0,0.13333333333333333,,
26,172.217.10.238,0.06720681790901452,925.6666666666666,0.13333333333333333,BENIGN,False
27,74.117.199.102,0.05088547815820543,564.6666666666666,0.1,,
28,203.154.100.125,0.050844594594594596,592.0,0.1,BENIGN,False
29,178.255.83.1,0.050720115218434954,694.3333333333334,0.1,,
30,151.101.65.5,0.05062840385421031,795.6666666666666,0.1,BENIGN,False
31,50.63.243.230,0.050457177689728745,1093.6666666666667,0.1,BENIGN,False
32,119.205.194.11,0.0381104033970276,104.66666666666667,0.06666666666666667,BENIGN,False
33,198.50.139.209,0.038080168776371305,105.33333333333333,0.06666666666666667,,
34,91.189.89.198,0.038080168776371305,105.33333333333333,0.06666666666666667,,
35,91.189.91.157,0.03790650406504065,109.33333333333333,0.06666666666666667,,
36,67.215.197.149,0.03721934369602763,128.66666666666666,0.06666666666666667,,
37,23.208.94.86,0.0354978354978355,231.0,0.06666666666666667,BENIGN,False
38,151.101.1.5,0.035041761579347,292.6666666666667,0.06666666666666667,BENIGN,False
39,23.52.155.27,0.034999999999999996,300.0,0.06666666666666667,BENIGN,False
40,23.54.187.27,0.03491561181434599,316.0,0.06666666666666667,BENIGN,False
41,172.217.10.130,0.03488292011019284,322.6666666666667,0.06666666666666667,BENIGN,False
42,195.142.107.75,0.034543010752688175,413.3333333333333,0.06666666666666667,,
43,206.126.112.147,0.034494324045407636,430.6666666666667,0.06666666666666667,,
